Airline,Location,Positive Mentions,Negative Mentions,Total Mentions,Average Sentiment
Air India,B777,1,0,1,0.908
Air India,Bahrain,2,0,2,0.9873000000000001
Air India,Delhi City,0,1,1,-0.6597
Air India,Shillong,1,0,1,0.6908
Air India,Mangalore,1,0,1,0.1045
Air India,Atlanta,1,0,1,0.6939
Air India,Delta,1,0,1,0.6939
Air India,Pune to Hyderabad,1,0,1,0.7941
Air India,Trivandrum,1,0,1,0.765
Air India,Heathrow Delhi,1,0,1,0.765
Air India,Delhi-Chicago,1,0,1,0.9392
Air India,Changi,1,1,2,0.2013
Air India,china,2,0,2,0.67625
Air India,T3,1,0,1,0.9838
Air India,Germany,1,0,1,0.7256
Air India,Middle East,1,0,1,0.7256
Air India,DEL-YYZ,1,0,1,0.5141
Air India,Fanta,0,1,1,-0.8453
Air India,Jet,1,0,1,0.786
Indigo Airlines,Mumbai,92,44,136,0.2981492647058822
Indigo Airlines,New Delhi,5,7,12,-0.18950833333333328
Indigo Airlines,Istanbul,4,12,16,-0.5559
Indigo Airlines,Chicago,0,3,3,-0.9918999999999999
Indigo Airlines,Varanasi,1,2,3,0.04059999999999997
Indigo Airlines,Delhi,88,42,130,0.2905092307692307
Indigo Airlines,Kathmandu,1,5,6,-0.2606833333333333
Indigo Airlines,Pune to Delhi,1,0,2,0.07655
Indigo Airlines,India,50,16,66,0.47390151515151496
Indigo Airlines,Singapore,10,11,21,-0.037538095238095225
Indigo Airlines,China,0,1,1,-0.9129
Indigo Airlines,Taiwan,0,1,1,-0.9129
Indigo Airlines,Japan,0,1,1,-0.9129
Indigo Airlines,UAE,0,2,2,-0.8969
Indigo Airlines,Maldives,0,8,8,-0.8360875
Indigo Airlines,Africa,0,1,1,-0.9129
Indigo Airlines,Europe,1,1,2,-0.36750000000000005
Indigo Airlines,Malaysia,0,1,1,-0.9129
Indigo Airlines,Hong Kong,2,1,3,-0.11303333333333337
Indigo Airlines,Bangalore,3,6,9,-0.14558888888888888
Indigo Airlines,Vijayawada,0,1,1,-0.9129
Indigo Airlines,Bali,0,1,1,-0.8017
Indigo Airlines,T1 airport,0,1,1,-0.8017
Indigo Airlines,Monopoly,0,1,1,-0.8316
Indigo Airlines,Dammam,0,3,3,-0.8561
Indigo Airlines,Bombay,6,4,10,0.11715
Indigo Airlines,DEL,5,2,7,0.3207999999999999
Indigo Airlines,Bangkok,9,7,16,0.06784374999999994
Indigo Airlines,Thailand,2,1,3,0.1072
Indigo Airlines,Lucknow,2,4,6,-0.20875
Indigo Airlines,Ahmedabad,13,9,22,0.0944363636363637
Indigo Airlines,U.K.,0,1,1,-0.9283
Indigo Airlines,London,2,2,4,0.0040999999999999925
Indigo Airlines,Bengaluru,9,11,20,-0.041770000000000015
Indigo Airlines,london,0,1,1,-0.9283
Indigo Airlines,Bagdogra,3,0,3,0.7294666666666667
Indigo Airlines,Jammu,3,0,3,0.8703
Indigo Airlines,Phuket,1,0,1,0.0258
Indigo Airlines,Mosquito,1,0,1,0.0258
Indigo Airlines,Qatar,2,2,4,-0.15240000000000004
Indigo Airlines,Ahmadabad,1,0,1,0.3956
Indigo Airlines,Abu Dhabi,1,1,2,0.01924999999999999
Indigo Airlines,Ahmedabad Mumbai,1,0,1,0.9426
Indigo Airlines,Dubai,13,9,22,0.17479545454545453
Indigo Airlines,Domestic,1,0,1,0.9426
Indigo Airlines,Aircraft,1,1,2,0.06445000000000001
Indigo Airlines,Riyadh,3,1,4,-0.15035
Indigo Airlines,Sabiya,1,0,1,0.7906
Indigo Airlines,Indigos,1,0,1,0.9895
Indigo Airlines,Madrid,0,1,1,-0.9267
Indigo Airlines,Istanbul -Mumbai - Istanbul,0,1,1,-0.9267
Indigo Airlines,Sharjah,2,0,2,0.8041
Indigo Airlines,Hyderabad,22,11,33,0.29511818181818184
Indigo Airlines,Pune,9,2,11,0.5541181818181818
Indigo Airlines,Vadodara,6,0,6,0.7035166666666667
Indigo Airlines,US,9,2,11,0.5260727272727274
Indigo Airlines,the Middle East,0,1,1,-0.4933
Indigo Airlines,Middle Eastern,0,1,1,-0.4933
Indigo Airlines,Kerala,0,2,2,-0.4933
Indigo Airlines,Hindi,1,2,3,-0.013866666666666694
Indigo Airlines,Vistara,2,1,3,0.33176666666666665
Indigo Airlines,Kochi,5,4,9,-0.009355555555555561
Indigo Airlines,USA,3,0,3,0.6856
Indigo Airlines,Tirupati,2,1,3,0.238
Indigo Airlines,Doha,7,4,11,0.31046363636363633
Indigo Airlines,Kolkata,21,9,30,0.32616333333333336
Indigo Airlines,Vancouver,0,1,1,-0.7857
Indigo Airlines,Airline,0,2,2,-0.8289500000000001
Indigo Airlines,Origin,1,0,1,0.7538
Indigo Airlines,Boarding,1,0,1,0.7538
Indigo Airlines,the Airport 4 hours,1,0,1,0.7538
Indigo Airlines,America,0,1,1,-0.1292
Indigo Airlines,Amritsar,2,1,3,0.3168666666666667
Indigo Airlines,Banglore,0,2,2,-0.6808
Indigo Airlines,Ranchi,4,1,5,0.3358
Indigo Airlines,Upma,1,0,1,0.7352
Indigo Airlines,Lucknow India,0,1,1,-0.8809
Indigo Airlines,Wheelchair,1,0,1,0.926
Indigo Airlines,Nepal,0,2,2,-0.8138000000000001
Indigo Airlines,Bahrain,0,3,3,-0.9657
Indigo Airlines,Gorakhpur,1,0,1,0.9684
Indigo Airlines,Karnataka,1,0,1,0.8401
Indigo Airlines,Asia,2,0,2,0.8768499999999999
Indigo Airlines,Seychelles,0,2,2,-0.9194
Indigo Airlines,Safety Kit,1,0,1,0.997
Indigo Airlines,Oman,0,1,1,-0.4774
Indigo Airlines,Tuticorin,0,1,1,-0.6055
Indigo Airlines,Visakhapatnam,5,0,5,0.63312
Indigo Airlines,Agartala,1,0,1,0.6855
Indigo Airlines,Kannur,1,1,2,-0.03654999999999997
Indigo Airlines,Mangalore,2,1,3,0.22263333333333338
Indigo Airlines,Kozhikide,1,0,1,0.92
Indigo Airlines,Jaipur,3,6,9,-0.06859999999999998
Indigo Airlines,Nagpur,0,2,2,-0.79095
Indigo Airlines,the Walking Stick,1,0,1,0.9558
Indigo Airlines,Dehradun,1,1,2,0.3516
Indigo Airlines,Pune via Bangalore,1,0,1,0.9476
Indigo Airlines,Patna,1,0,1,0.9744
Indigo Airlines,Kuwait,1,0,1,0.7089
Indigo Airlines,COK,1,0,1,0.1901
Indigo Airlines,Vadadora,1,0,1,0.7177
Indigo Airlines,PA,0,1,1,-0.9388
Indigo Airlines,Kuala Lumpur,1,0,1,0.9589
Indigo Airlines,Sayed,0,1,1,-0.1545
Indigo Airlines,Hubli,0,1,1,-0.1545
Indigo Airlines,Vizag,1,0,1,0.2831
Indigo Airlines,Blackout,1,0,1,0.9528
Indigo Airlines,Dr,2,0,2,0.9528
Indigo Airlines,San Francisco,1,0,1,0.3697
Indigo Airlines,Via,1,0,1,0.3697
Indigo Airlines,Shanghai,1,0,1,0.3697
Indigo Airlines,Ahemdabad,1,0,1,0.3697
Indigo Airlines,Pune via Delhi,1,1,2,0.37039999999999995
Indigo Airlines,Ganga,1,0,1,0.8641
Indigo Airlines,Raipur,1,0,1,0.5994
Indigo Airlines,Jakarta,0,1,1,-0.8591
Indigo Airlines,Sandwich,0,1,1,-0.6514
Indigo Airlines,Trivandrum,2,1,3,0.34783333333333327
Indigo Airlines,Vishakapatnam,1,0,1,0.6111
Indigo Airlines,Muscat,0,1,1,-0.9455
Indigo Airlines,Port Blair,1,0,1,0.982
Indigo Airlines,Srinagar,1,0,1,0.9411
Indigo Airlines,Cochin to Delhi,0,1,1,-0.3601
Indigo Airlines,Udaipur,0,1,1,-0.8993
Indigo Airlines,Flew Delhi,1,0,1,0.8964
Indigo Airlines,Pune airport,1,0,1,0.7958
Indigo Airlines,Boxes,1,0,1,0.7958
Indigo Airlines,Southeast Asia,1,0,1,0.9159
Indigo Airlines,Kolkota,1,0,1,0.5714
Indigo Airlines,Goa - Delhi,1,0,1,0.2023
Indigo Airlines,Pune to Nagpur,1,0,1,0.9118
Indigo Airlines,3.25pm,0,1,1,-0.7275
Indigo Airlines,Cochi,1,0,1,0.902
Indigo Airlines,Masala,1,0,1,0.4501
Indigo Airlines,Air Asia,1,0,1,0.8555
Indigo Airlines,USD,1,0,1,0.9136
Indigo Airlines,Jet,1,0,1,0.513
Indigo Airlines,Pune-Nagpur,1,0,1,0.9485
Indigo Airlines,Goa to Delhi,2,0,2,0.891
Indigo Airlines,DEL-BOM,1,0,1,0.946
Qatar Airways,Doha,1890,594,2491,0.5050603773584921
Qatar Airways,Qatar,645,232,877,0.46799258836944163
Qatar Airways,Middle East,3,2,5,0.20664
Qatar Airways,Munich,33,8,41,0.5189097560975608
Qatar Airways,Kuala Lumpur,58,10,68,0.6664955882352942
Qatar Airways,Barcelona,18,18,36,0.15054722222222222
Qatar Airways,Manila,42,8,50,0.6250700000000001
Qatar Airways,Guangzhou,1,1,2,-0.009649999999999992
Qatar Airways,Athens,28,15,43,0.3370209302325582
Qatar Airways,Tokyo,15,8,23,0.43922608695652166
Qatar Airways,Madrid,31,10,41,0.5495512195121952
Qatar Airways,South Africa,10,3,13,0.5919999999999999
Qatar Airways,Johannesburg,36,19,55,0.25559636363636373
Qatar Airways,Phuket,17,9,27,0.336588888888889
Qatar Airways,Penang,9,4,13,0.48196153846153844
Qatar Airways,Maldives,6,1,7,0.6041
Qatar Airways,Nairobi,20,15,35,0.13098285714285715
Qatar Airways,Kathmandu,18,12,30,0.26248666666666665
Qatar Airways,Delhi,14,8,22,0.37210000000000004
Qatar Airways,QR701,0,1,1,-0.8847
Qatar Airways,Nepal,3,1,4,0.3532
Qatar Airways,New Delhi,1,1,2,0.08374999999999999
Qatar Airways,Chicago,19,19,40,0.03581500000000001
Qatar Airways,London,182,56,238,0.5314441176470589
Qatar Airways,Emirates,73,14,87,0.7236471264367813
Qatar Airways,Dubai,56,15,71,0.5601239436619716
Qatar Airways,Dublin,19,2,21,0.6902142857142857
Qatar Airways,Hanoi,17,6,23,0.5163000000000002
Qatar Airways,Anastasia,2,0,2,0.9955
Qatar Airways,Aircraft,2,0,2,0.9884
Qatar Airways,Economy,10,0,10,0.62784
Qatar Airways,Zurich,19,7,26,0.3751961538461538
Qatar Airways,Oman,2,4,6,-0.08766666666666668
Qatar Airways,Salalah,0,2,2,-0.768
Qatar Airways,Rome,21,5,26,0.6630615384615385
Qatar Airways,Turkey,2,2,4,-0.18987500000000002
Qatar Airways,Perth,45,23,68,0.33407647058823536
Qatar Airways,Singapore,84,46,131,0.3101106870229007
Qatar Airways,US,18,9,27,0.35126296296296267
Qatar Airways,Riyadh,8,3,11,0.4075090909090909
Qatar Airways,San Francisco,1,2,3,-0.2119
Qatar Airways,the United States,0,1,1,-0.9748
Qatar Airways,Indonesia,1,1,2,0.13680000000000003
Qatar Airways,Bangkok,226,37,263,0.6743908745247144
Qatar Airways,Manchester,60,11,71,0.6205056338028169
Qatar Airways,Addis Ababa,0,1,1,-0.9864
Qatar Airways,Addis-Ababa,0,1,1,-0.9864
Qatar Airways,KQ,1,1,2,-0.22190000000000004
Qatar Airways,Airline,2,1,3,0.2959333333333333
Qatar Airways,QR149,0,1,1,-0.8376
Qatar Airways,Ahmedabad,4,1,7,0.42947142857142856
Qatar Airways,Africa,5,1,6,0.58235
Qatar Airways,aerolínea,0,2,2,-0.9523
Qatar Airways,El hombre,0,1,1,-0.9523
Qatar Airways,del tremendo,0,1,1,-0.9523
Qatar Airways,Beijing,2,0,2,0.50615
Qatar Airways,Washington DC,4,2,6,0.40778333333333333
Qatar Airways,Houston,13,6,19,0.45187368421052637
Qatar Airways,Islamabad,18,2,20,0.65466
Qatar Airways,Newcastle,1,0,1,0.8759
Qatar Airways,UK,24,6,30,0.5595899999999998
Qatar Airways,Brussels,17,22,39,-0.106651282051282
Qatar Airways,Vietnam,2,4,6,-0.13125
Qatar Airways,Thailand,10,2,12,0.5125166666666666
Qatar Airways,QR763,1,0,1,0.7072
Qatar Airways,Montreal,15,20,35,-0.054988571428571435
Qatar Airways,Warsaw,14,13,27,0.08477407407407407
Qatar Airways,Edinburgh,48,8,56,0.6791696428571427
Qatar Airways,Philippines,3,0,3,0.8992333333333332
Qatar Airways,Cebu,4,0,4,0.814725
Qatar Airways,Miami,14,0,14,0.749307142857143
Qatar Airways,Grand Cayman,1,0,1,0.8487
Qatar Airways,Jakarta,24,8,32,0.3986375
Qatar Airways,Bucharest,3,0,3,0.7365
Qatar Airways,Auckland,13,4,17,0.5225705882352942
Qatar Airways,Beirut,11,2,13,0.6373384615384616
Qatar Airways,Myanmar,1,0,1,0.9594
Qatar Airways,Australia,36,5,41,0.7402365853658536
Qatar Airways,Australasia,2,0,2,0.7753
Qatar Airways,Japan,4,1,5,0.56992
Qatar Airways,Saudi Arabia,0,1,1,-0.9562
Qatar Airways,Vancouver,4,0,4,0.512
Qatar Airways,Tehran,7,7,14,0.09796428571428571
Qatar Airways,Seattle,4,6,10,-0.15322
Qatar Airways,Melbourne,76,12,88,0.6821749999999999
Qatar Airways,Hong Kong,32,13,45,0.39011111111111113
Qatar Airways,Istanbul,29,10,39,0.41790000000000005
Qatar Airways,Larnaca,3,2,5,0.15538
Qatar Airways,Sri Lanka,1,2,3,-0.39303333333333335
Qatar Airways,Sydney,65,33,98,0.34416938775510203
Qatar Airways,Frankfurt,49,11,60,0.5629616666666666
Qatar Airways,Saigon,5,1,6,0.6635666666666666
Qatar Airways,Goa Dabolim,1,0,1,0.7845
Qatar Airways,Mumbai,21,3,24,0.6951166666666667
Qatar Airways,Helsinki,9,3,12,0.429325
Qatar Airways,Philadelphia,16,2,18,0.7479444444444444
Qatar Airways,Natalia,2,0,2,0.9936
Qatar Airways,Silver,1,0,1,0.9936
Qatar Airways,Malaysia,6,3,9,0.34921111111111114
Qatar Airways,B789,2,0,2,0.5660000000000001
Qatar Airways,Europe,25,6,31,0.5230322580645163
Qatar Airways,Amman,14,12,26,0.06853461538461539
Qatar Airways,Exit Row,0,2,2,-0.9952
Qatar Airways,realy,1,0,1,0.9915
Qatar Airways,Nice,11,0,11,0.9459000000000001
Qatar Airways,Birmingham,15,8,23,0.28971304347826093
Qatar Airways,Detroit,0,0,3,0.0
Qatar Airways,Georgia,0,1,1,-0.9083
Qatar Airways,India,16,3,19,0.5667789473684209
Qatar Airways,Ho Chi Minh,4,1,5,0.44171999999999995
Qatar Airways,Asia,8,1,9,0.6305666666666667
Qatar Airways,Joburg,1,2,3,-0.24276666666666666
Qatar Airways,Chongqing,2,1,3,0.3694333333333333
Qatar Airways,Washington,9,4,13,0.3570230769230769
Qatar Airways,Angola,0,2,2,-0.9616
Qatar Airways,Carina,2,0,2,0.9916
Qatar Airways,Portugal,1,0,1,0.9916
Qatar Airways,Diamond,1,0,1,0.9916
Qatar Airways,Sao Paulo,5,0,5,0.6712
Qatar Airways,the Qatar A380s,1,0,1,0.4932
Qatar Airways,Geneva,12,2,14,0.6801857142857143
Qatar Airways,Swissport,0,2,2,-0.6287
Qatar Airways,Kathmanda,1,0,1,0.9186
Qatar Airways,Muscat,24,2,26,0.7858807692307692
Qatar Airways,Qsuite,1,2,3,-0.09303333333333334
Qatar Airways,Vienna,18,5,23,0.5481999999999999
Qatar Airways,Milan,23,7,30,0.5527099999999999
Qatar Airways,Qsuites,0,1,1,-0.7346
Qatar Airways,Kochi,5,2,7,0.46938571428571424
Qatar Airways,Colombo,7,2,9,0.597288888888889
Qatar Airways,4AM,1,0,1,0.8562
Qatar Airways,Italy,1,1,2,0.08230000000000004
Qatar Airways,UAE,1,0,1,0.9917
Qatar Airways,Chile,2,0,2,0.9634
Qatar Airways,France,4,0,4,0.70595
Qatar Airways,Rome - Denpasar,0,1,1,-0.7003
Qatar Airways,Sicily,0,1,1,-0.9263
Qatar Airways,Nigeria,2,0,2,0.9503
Qatar Airways,Hanna,1,0,1,0.9888
Qatar Airways,New York,18,5,23,0.5308521739130434
Qatar Airways,Bollywood,1,0,1,0.872
Qatar Airways,Abu Dhabi,4,2,6,0.27385
Qatar Airways,Boston,8,4,12,0.3633583333333333
Qatar Airways,Dhaka,13,2,15,0.6625600000000001
Qatar Airways,USA,11,3,14,0.6109571428571429
Qatar Airways,Kigali,8,1,9,0.7533444444444446
Qatar Airways,Corona,6,0,6,0.95465
Qatar Airways,the Auckland to Doha,2,0,2,0.9919
Qatar Airways,Canberra,4,3,7,0.2956714285714286
Qatar Airways,Prague,2,2,4,0.22192499999999998
Qatar Airways,Aarti,1,0,1,0.3704
Qatar Airways,Berlin,13,3,16,0.5670249999999999
Qatar Airways,Delta,0,1,1,-0.7851
Qatar Airways,24/04/2023,1,0,1,0.9562
Qatar Airways,Atlanta,22,5,27,0.5708703703703704
Qatar Airways,Bangladesh,3,0,3,0.8751666666666665
Qatar Airways,Rania,3,0,3,0.9841000000000001
Qatar Airways,Nagoya,1,0,1,0.9684
Qatar Airways,B777,7,1,8,0.8462124999999999
Qatar Airways,Asie,1,0,1,0.9595
Qatar Airways,satisfait,1,0,1,0.9595
Qatar Airways,Sapphire,3,0,3,0.9457333333333334
Qatar Airways,Hussain,2,0,2,0.9612
Qatar Airways,la,1,0,1,0.9801
Qatar Airways,qatar,2,0,2,0.9164
Qatar Airways,Zagreb,6,0,6,0.85875
Qatar Airways,Pearl,3,0,3,0.9932
Qatar Airways,Rare,1,0,1,0.9946
Qatar Airways,LGW,1,0,1,0.5256
Qatar Airways,DC,1,0,1,0.34
Qatar Airways,Denpasar,2,1,3,-0.06893333333333333
Qatar Airways,Denpasar hours later,1,0,1,0.34
Qatar Airways,seati,1,0,1,0.2263
Qatar Airways,Marriott,1,0,1,0.8146
Qatar Airways,Lebanon,1,0,1,0.9867
Qatar Airways,Victoria,1,0,1,0.9821
Qatar Airways,Sabiha Gokcen,1,0,1,0.9311
Qatar Airways,SE-Asia,1,0,1,0.9866
Qatar Airways,Oslo,17,6,23,0.5211391304347827
Qatar Airways,Toronto,5,6,11,0.011490909090909078
Qatar Airways,the west coast,1,0,1,0.9778
Qatar Airways,LA,8,0,8,0.8814625
Qatar Airways,Boarding,0,1,1,-0.4912
Qatar Airways,Budapest,7,0,7,0.8866428571428573
Qatar Airways,Iberia,6,0,6,0.89975
Qatar Airways,Reno,1,0,1,0.3595
Qatar Airways,Gatwick,8,1,9,0.7071222222222222
Qatar Airways,China,1,2,3,-0.1874
Qatar Airways,South Korea,1,0,1,0.8079
Qatar Airways,Kilimanjaro,2,1,3,0.4444666666666666
Qatar Airways,the Al Maha,1,0,1,0.9687
Qatar Airways,Qcuisine,1,0,1,0.972
Qatar Airways,Pakistan,5,2,7,0.4174142857142858
Qatar Airways,San Diego,1,0,1,0.9524
Qatar Airways,Dallas,18,3,21,0.7045047619047617
Qatar Airways,Cairo,11,3,14,0.5250642857142858
Qatar Airways,Uganda,0,2,2,-0.778
Qatar Airways,Paris,37,15,52,0.39280576923076926
Qatar Airways,Brisbane,4,3,7,0.16992857142857143
Qatar Airways,Amsterdam,28,10,38,0.5243894736842104
Qatar Airways,IKA,0,1,1,-0.9067
Qatar Airways,Breakfast,0,1,1,-0.8402
Qatar Airways,Poland,1,0,1,0.5984
Qatar Airways,Brussel,1,0,1,0.5423
Qatar Airways,Karanveer,1,0,1,0.9771
Qatar Airways,Sharan,1,0,1,0.9819
Qatar Airways,australia,1,0,1,0.8448
Qatar Airways,Flying,3,0,3,0.6352666666666666
Qatar Airways,QR932,1,0,1,0.3134
Qatar Airways,Premium,0,1,1,-0.8489
Qatar Airways,Expedia,0,2,2,-0.1668
Qatar Airways,Egypt,1,1,2,-0.13389999999999996
Qatar Airways,Nisha,1,0,1,0.3591
Qatar Airways,Kolkata,5,5,10,0.12387000000000001
Qatar Airways,Dulles,3,0,3,0.9308666666666666
Qatar Airways,Canada,3,0,3,0.9244
Qatar Airways,Papua New Guinea,1,0,1,0.9984
Qatar Airways,Zanzibar,0,2,2,-0.8796999999999999
Qatar Airways,Sofia,7,0,7,0.9437999999999999
Qatar Airways,Jetiya,1,0,1,0.9819
Qatar Airways,Medina,4,0,4,0.988825
Qatar Airways,Adelaide,6,0,6,0.9881833333333335
Qatar Airways,Covid,2,1,3,0.22923333333333337
Qatar Airways,Baku,9,3,12,0.445425
Qatar Airways,Casablanca,6,2,8,0.4007875
Qatar Airways,Moscow,5,1,6,0.3973333333333333
Qatar Airways,Isle,0,1,1,-0.5278
Qatar Airways,Hyderabad,6,6,12,0.0735583333333333
Qatar Airways,Lagos,6,2,8,0.47024999999999995
Qatar Airways,Kyiv,1,0,1,0.9824
Qatar Airways,Rwanda,1,0,1,0.9904
Qatar Airways,Germany,4,1,5,0.55992
Qatar Airways,CC,1,0,1,0.8537
Qatar Airways,us,1,2,3,-0.3006333333333333
Qatar Airways,Maryam,1,0,1,0.9467
Qatar Airways,Fri,1,0,1,0.9467
Qatar Airways,Emirates Flights,1,0,1,0.669
Qatar Airways,Kerala,1,0,1,0.669
Qatar Airways,Iceland,2,0,2,0.6082000000000001
Qatar Airways,Denmark,4,0,4,0.25
Qatar Airways,Najaf,2,3,5,-0.11565999999999996
Qatar Airways,Basra,2,0,2,0.7221500000000001
Qatar Airways,Thankyou,1,0,1,0.9117
Qatar Airways,Kenya,1,0,1,0.9874
Qatar Airways,Panama,1,0,1,0.7438
Qatar Airways,Spain,1,0,1,0.7438
Qatar Airways,Los Angeles,15,0,15,0.7886599999999999
Qatar Airways,New York JFK,11,2,13,0.6890000000000001
Qatar Airways,Karachi,9,1,10,0.64988
Qatar Airways,Stockholm,28,9,37,0.5294999999999999
Qatar Airways,Business,1,2,3,0.01266666666666666
Qatar Airways,Bulgaria,1,0,1,0.9765
Qatar Airways,Cape Town,12,6,18,0.34217777777777786
Qatar Airways,Mogadishu,1,0,1,0.9001
Qatar Airways,Jomo Kenyatta,1,0,1,0.9833
Qatar Airways,Tunisia,1,0,1,0.9981
Qatar Airways,QR726,1,0,1,0.9819
Qatar Airways,Coronavirus,3,0,3,0.8828666666666667
Qatar Airways,Tallin,0,1,1,-0.4939
Qatar Airways,Kuwait,16,8,24,0.4322999999999999
Qatar Airways,Ft Worth,4,0,4,0.9391749999999999
Qatar Airways,Covid_19,1,0,1,0.7787
Qatar Airways,Jordan,1,1,2,0.011499999999999955
Qatar Airways,Khalil,1,0,1,0.948
Qatar Airways,japan,1,0,1,0.9732
Qatar Airways,Greece,1,0,1,0.7845
Qatar Airways,QR0928,1,0,1,0.9919
Qatar Airways,Dunia,1,0,1,0.9919
Qatar Airways,Bangalore,2,0,2,0.8875
Qatar Airways,KL,1,1,2,0.08515
Qatar Airways,U.S.,1,0,1,0.9286
Qatar Airways,Auckland via Doha,0,2,2,-0.4714
Qatar Airways,Cyprus,1,0,1,0.9921
Qatar Airways,Check,1,0,1,0.9921
Qatar Airways,Yangon,2,1,3,0.44316666666666665
Qatar Airways,Auckland to Helsinki,1,0,1,0.9446
Qatar Airways,Lacto,1,0,1,0.9692
Qatar Airways,QR015,1,0,1,0.9941
Qatar Airways,Cochi,1,0,1,0.9574
Qatar Airways,Cava,0,1,1,-0.8873
Qatar Airways,Danang,0,1,1,-0.8873
Qatar Airways,Qantas,2,0,2,0.9514
Qatar Airways,Inoula,1,0,1,0.9117
Qatar Airways,Catalina,1,0,1,0.9117
Qatar Airways,Bali,9,3,12,0.5026583333333333
Qatar Airways,Lahore,7,0,7,0.8376857142857143
Qatar Airways,Auckland to St Petersburg,1,0,1,0.5047
Qatar Airways,Nashville,1,0,1,0.8669
Qatar Airways,Welcomed,1,0,1,0.9966
Qatar Airways,Cochin,1,0,1,0.9966
Qatar Airways,Bombay,3,1,4,0.253825
Qatar Airways,Shanghai,17,1,18,0.8144166666666666
Qatar Airways,Heathrow,2,0,2,0.8342
Qatar Airways,Antalya,0,5,5,-0.92128
Qatar Airways,Phnom Penh,5,1,6,0.6480666666666667
Qatar Airways,Venice,14,3,17,0.629035294117647
Qatar Airways,Central,1,0,1,0.9161
Qatar Airways,n’t,3,0,3,0.7040000000000001
Qatar Airways,Gothenburg,2,1,3,0.39683333333333337
Qatar Airways,QR832,1,0,1,0.7233
Qatar Airways,Londikile,1,0,1,0.9878
Qatar Airways,the Middle East,6,0,6,0.9763333333333334
Qatar Airways,Lisbon,4,0,4,0.980425
Qatar Airways,South Asia,2,0,2,0.97955
Qatar Airways,Hollywood,3,1,4,0.32732500000000003
Qatar Airways,Multan,0,2,2,-0.7617
Qatar Airways,Tbilisi,3,0,3,0.6503666666666666
Qatar Airways,Dar es Salaam,1,0,1,0.9834
Qatar Airways,Kiev,2,1,3,0.5440333333333333
Qatar Airways,Seoul,5,0,5,0.8914
Qatar Airways,Sri Lankan,1,0,1,0.9965
Qatar Airways,Ghana,1,0,1,0.9985
Qatar Airways,U.K.,1,0,1,0.9985
Qatar Airways,doha,2,0,2,0.9953000000000001
Qatar Airways,Calicut,1,0,1,0.9343
Qatar Airways,St. Petersburg,1,0,1,0.1899
Qatar Airways,Ankara,0,3,3,-0.6537333333333334
Qatar Airways,Suvarnabhumi,1,0,1,0.9877
Qatar Airways,Calgary,0,1,1,-0.6486
Qatar Airways,Scotland,0,1,1,-0.9312
Qatar Airways,Goa,2,0,2,0.93445
Qatar Airways,Switzerland,1,0,1,0.8768
Qatar Airways,B773,2,0,2,0.85555
Qatar Airways,Oman Air,1,0,1,0.9824
Qatar Airways,Hamburg,0,3,3,-0.7408
Qatar Airways,Belgrade,5,1,6,0.7080833333333335
Qatar Airways,Balkans,1,0,1,0.9653
Qatar Airways,DL,1,0,1,0.9964
Qatar Airways,UA,1,0,1,0.9964
Qatar Airways,Auckland to Johannesburg,1,0,1,0.7922
Qatar Airways,Amritsar,2,0,2,0.9681500000000001
Qatar Airways,Shokoufeh,1,0,1,0.9759
Qatar Airways,Rio de Janeiro,1,0,1,0.9607
Qatar Airways,Middle Eastern,1,0,1,0.7579
Qatar Airways,HK,2,0,2,0.7558499999999999
Qatar Airways,Hamad Int'l Airport,1,0,1,0.9902
Qatar Airways,Hamad Int'l,1,0,1,0.9902
Qatar Airways,USB,1,0,1,0.046
Qatar Airways,Bruna,1,0,1,0.9847
Qatar Airways,Dar Es Salaam,1,3,4,-0.4871
Qatar Airways,Sarajevo,1,0,1,0.3612
Qatar Airways,Katmandu,1,0,1,0.2985
Qatar Airways,Trivandrum,2,0,2,0.68835
Qatar Airways,Emerites,1,0,1,0.9626
Qatar Airways,middle-east,1,0,1,0.9979
Qatar Airways,East,1,0,1,0.9887
Qatar Airways,Clark,2,0,2,0.9244
Qatar Airways,Doha-Helsinki,1,0,1,0.6825
Qatar Airways,Ho Chi Minh City,13,2,15,0.6545066666666668
Qatar Airways,Central Africa,1,0,1,0.9911
Qatar Airways,Morocco,0,1,1,-0.9816
Qatar Airways,Virgin,1,0,1,0.9373
Qatar Airways,Cardiff Airport,1,0,1,0.9876
Qatar Airways,Confort,1,0,1,0.6652
Qatar Airways,Seychelles,1,0,1,0.9633
Qatar Airways,Quezon City,0,1,1,-0.2795
Qatar Airways,USD,1,0,1,0.9642
Qatar Airways,Auckland to Cape Town,1,0,1,0.9389
Qatar Airways,Duty,1,0,1,0.5499
Qatar Airways,the Arabic Breakfast,1,0,1,0.9786
Qatar Airways,Skytrax,1,0,1,0.9574
Qatar Airways,Bhutan,0,1,1,-0.6262
Qatar Airways,Ireland,1,0,1,0.9342
Qatar Airways,Melboure,1,0,1,0.9337
Qatar Airways,Saudia Arabia,0,1,1,-0.4795
Qatar Airways,Canton,0,1,1,-0.7649
Qatar Airways,Ohio,0,1,1,-0.7649
Qatar Airways,Cleveland,1,2,3,-0.18986666666666666
Qatar Airways,BA,0,1,1,-0.7649
Qatar Airways,Marrakech,0,1,1,-0.2609
Qatar Airways,Ft Lauderdale,1,0,1,0.5848
