Airline,Entity,Positive Mentions,Negative Mentions,Total Mentions,Average Sentiment
Air India,Hopefully Air India,0,1,1,-0.8523
Air India,BOM-JFK,0,2,2,-0.7227
Air India,BLR-BOM-JDH,1,0,1,0.8225
Air India,Terminal 3,1,0,1,0.8118
Air India,EWR-BOM-AMD,0,1,1,-0.5883
Air India,Flying Air India,0,1,1,-0.9706
Air India,MEL-LHR-MEL,1,0,1,0.9921
Air India,Mumbai-Jamnagar,0,1,1,-0.5267
Air India,Poor Management,0,1,1,-0.5267
Air India,Delhi: Information,1,0,1,0.9936
Air India,Dreamliner AI 130,0,1,1,-0.9459
Air India,Heston Hotel,0,2,2,-0.9459
Air India,Chicken,1,0,1,0.9933
Air India,IGI,1,2,3,0.11733333333333333
Air India,AI 302,1,0,1,0.3731
Air India,A321 - Check,1,0,1,0.9337
Air India,Bom-Jaipur-Bom on A319,1,0,1,0.9628
Air India,BOM-DEL-SYD,1,0,1,0.8877
Air India,FFM,1,0,1,0.8877
Air India,Trivandrum,1,0,1,0.967
Air India,Neatly,1,0,1,0.9756
Air India,LHR-CCU-LHR,1,0,1,0.7907
Air India,DEL-CCU,1,0,1,0.7907
Air India,CCU-DEL,2,0,2,0.84325
Air India,SYD/MEL,1,0,1,0.9927
Air India,the Holi Holidays,1,0,1,0.8151
Air India,BKK-BOM A321 Seat:9F,1,0,1,0.9875
Air India,VOML,2,0,2,0.98185
Air India,Drinks/Food,1,0,1,0.9875
Air India,Warning - Seat row *,1,0,1,0.9875
Air India,SYD-DEL-BOM,1,0,1,0.7116
Air India,LHR-DEL-SYD,1,0,1,0.908
Air India,Mumbai-Chennai-Singapore,0,1,1,-0.0143
Air India,AI 102,1,0,1,0.9951
Air India,Crew -,1,0,1,0.9951
Air India,IGI T3 New Delhi,1,0,1,0.9136
Air India,AI 115 Amritsar,1,0,1,0.6908
Air India,AI 112 Heathrow,1,0,1,0.5499
Air India,BKK-BOM,1,0,1,0.8589
Air India,BOM-LHR,1,0,1,0.8589
Air India,AI 111,1,0,1,0.5624
Air India,BFS,1,0,1,0.9762
Air India,Dubai-Goa-Dubai,0,1,1,-0.9436
Air India,CDG-DEL-CDG,1,0,1,0.8519
Air India,Stewards,1,0,1,0.9849
Air India,DEL-JAI,0,1,1,-0.9062
Air India,Delhi-Chandigarh,1,0,1,0.7513
Air India,VT-SCT,0,0,1,0.0
Air India,DEL-FRA,1,0,1,0.8958
Air India,MAA-DEL-BHX-MAA,1,0,1,0.7197
Air India,DEL/BHX,1,0,1,0.7197
Air India,Air India Dreamliners,1,0,1,0.7197
Air India,Air India B777,1,0,1,0.7197
Air India,BKK-DEL-BHX,1,0,1,0.9759
Air India,FRA-DEL-MAA,1,0,1,0.9747
Air India,LHR CDG FRA,1,0,1,0.9747
Air India,LHR-Delhi,1,0,1,0.2807
Air India,BKK-Delhi - more,1,0,1,0.2807
Air India,AI 234,0,1,1,-0.6597
Air India,GAY,0,1,1,-0.6597
Air India,SIN-BOM-EWR,0,1,1,-0.9819
Air India,SIN-BOM AI 343,0,1,1,-0.9819
Air India,BOM-EWR,0,1,1,-0.9819
Air India,AI 112 LHR-DEL,0,1,1,-0.5383
Air India,LHR Terminal,0,1,1,-0.5383
Air India,AI 332,1,0,1,0.9382
Air India,SYD-DEL-SYD,1,0,1,0.962
Air India,AI 020,0,1,1,-0.9393
Air India,the International Level,0,1,1,-0.7906
Air India,Delta Airlines,1,0,1,0.6939
Air India,Travelocity.com,1,0,1,0.6939
Air India,Birmingham-DEL,1,0,1,0.708
Air India,DEL-Chennai,1,0,1,0.708
Air India,9.40pm,0,1,1,-0.9603
Air India,National Airline,1,1,2,-0.21680000000000002
Air India,AI601,1,0,1,0.9848
Air India,SHJ,0,1,1,-0.93
Air India,VT-ESH,0,1,1,-0.93
Air India,SIN-MAA,1,1,2,0.3679
Air India,Aircraft's,0,1,1,-0.9001
Air India,AI112,0,1,1,-0.7964
Air India,Air India - MEL-DEL,1,0,1,0.864
Air India,AI 609,1,0,1,0.6746
Air India,TG,1,0,1,0.4924
Air India,LHR-DEL-LHR,2,0,2,0.9691000000000001
Air India,DEL-DXB,2,0,2,0.27725
Air India,AMD,1,0,1,0.9628
Air India,Lufthansa United,1,0,1,0.9392
Air India,CDG-DEL-MAA-SIN,1,0,1,0.8126
Air India,SIN-DEL,2,0,2,0.76755
Air India,DEL-CDG,1,0,1,0.8126
Air India,DEL-MAA -,1,0,1,0.8126
Air India,MAA-SIN,1,0,1,0.8126
Air India,Goa-Chennai,0,1,1,-0.886
Air India,Business as Economy,0,1,1,-0.762
Air India,DEL-SIN-DEL,1,0,1,0.8008
Air India,Air India 380/381,1,0,1,0.8008
Air India,DEL-IXE,2,0,2,0.637
Air India,MXP,1,0,1,0.9778
Air India,9.30pm,1,0,1,0.9877
Air India,DEL-BOM-CJB,2,0,2,0.8716
Air India,DXB-MAA-DXB,1,0,1,0.9623
Air India,DEL-MAA,1,0,1,0.9661
Air India,Airbus 321,1,0,1,0.7717
Air India,RUH-BOM-DEL,0,1,1,-0.5308
Air India,DEL-BOM,0,2,2,-0.7322500000000001
Air India,RUH,1,1,2,0.21869999999999995
Air India,ORD-DEL,1,0,1,0.2249
Air India,LHR-BOM-LHR,2,0,2,0.8262499999999999
Air India,T3,1,0,1,0.9928
Air India,AI 863,1,0,1,0.6652
Air India,IXC-DEL-BOM,1,0,1,0.6652
Air India,AI 864,1,0,1,0.8827
Air India,BOM-IXC,1,0,1,0.8827
Air India,IXC,1,0,1,0.8827
Air India,LHR-DEL-KOL,0,1,1,-0.7949
Air India,Executive (Business,1,0,1,0.9941
Air India,clingfilm wrap,1,0,1,0.3809
Air India,Kolkata-Silchar-Kolkata3,1,0,1,0.4215
Air India,LHR-BOM-DEL-LHR,1,0,1,0.9716
Air India,IXL-DEL,1,0,1,0.8107
Air India,LHR-DEL-ATQ,1,0,1,0.2584
Air India,FRA-DEL-KTM-DEL-FRA B777-300ER,0,1,1,-0.9159
Air India,Finnair,1,0,1,0.9838
Air India,Air India DEL-BOM-GOI,1,0,1,0.9838
Air India,GOI-BOM-DEL,1,0,1,0.9838
Air India,DEL-CCU-DEL-LHR,1,0,1,0.9708
Air India,MAA-CMB-MAA,2,0,2,0.87285
Air India,FRA-DEL-COK,1,0,1,0.7256
Air India,BOM-DXB-BOM Airbus,1,0,1,0.8018
Air India,DEL T-3,1,0,1,0.92
Air India,MAA-BOM-EWR,0,1,1,-0.8687
Air India,DEL Dec,0,1,1,-0.3197
Air India,Cafes,0,1,1,-0.3197
Air India,AI 475,0,1,1,-0.128
Air India,BKK-DEL-KTM-BKK,0,1,1,-0.8705
Air India,KTM-DEL-BKK,0,1,1,-0.8705
Air India,Indian Airlines,1,0,1,0.7225
Air India,IXB,1,0,1,0.9217
Air India,DEL-ATQ Economy,1,0,1,0.9025
Air India,DEL-MUM,1,0,1,0.9729
Air India,Kiosk,1,0,1,0.9729
Air India,VTZ-ATQ,1,0,1,0.9796
Air India,VTZ,1,0,1,0.9796
Air India,Air India YYZ-DEL,1,0,1,0.9524
Air India,AI 101/102,1,0,1,0.9576
Air India,BOM-GOI A319,1,0,1,0.4007
Air India,PNQ-GOI,0,1,1,-0.5095
Air India,Air India again Emirates,1,0,1,0.102
Air India,BOM-DXB-BOM,0,1,1,-0.5423
Air India,DEL-IXU,1,0,1,0.8977
Air India,CRJ,1,0,1,0.8977
Air India,WC,0,1,1,-0.7989
Air India,LHR-DEL 777,0,1,1,-0.8938
Air India,ORD-BOM,1,0,1,0.9765
Air India,BOM-MAA,1,0,1,0.9765
Air India,MAA-BOM,1,0,1,0.9765
Indigo Airlines,MSW*InterGlobe Aviation Delhi NCR,1,0,1,0.4184
Indigo Airlines,InterGlobe,1,0,1,0.4184
Indigo Airlines,Indigo Airlines,12,10,22,0.10731818181818181
Indigo Airlines,Turkish Airlines,0,6,6,-0.9217333333333334
Indigo Airlines,UAE,0,1,1,-0.9919
Indigo Airlines,Indigo,159,132,291,0.0840580756013748
Indigo Airlines,XL,2,3,5,-0.06065999999999998
Indigo Airlines,Worst Airline,0,2,2,-0.6991
Indigo Airlines,Gate,1,2,3,-0.10096666666666665
Indigo Airlines,Worst,0,3,3,-0.6740333333333334
Indigo Airlines,Hyderabad,1,2,3,-0.4014
Indigo Airlines,Chennai,25,13,38,0.3455789473684211
Indigo Airlines,am & everyone,0,1,1,-0.891
Indigo Airlines,Air India,6,3,9,0.2141111111111111
Indigo Airlines,IXC-JDH,0,1,1,-0.9733
Indigo Airlines,JDH,0,2,2,-0.9733
Indigo Airlines,IXC,0,3,3,-0.9733
Indigo Airlines,DEL,0,2,2,-0.6667000000000001
Indigo Airlines,DEL-IXC,0,2,2,-0.9733
Indigo Airlines,The Ground Service of IndiGo,0,1,1,-0.9509
Indigo Airlines,Cochin,2,3,5,-0.22575999999999996
Indigo Airlines,DEL-IST,1,0,1,0.5789
Indigo Airlines,UPI,0,1,1,-0.6714
Indigo Airlines,INR,1,2,3,-0.37870000000000004
Indigo Airlines,Chandigarh to Bagdogra,1,0,1,0.8391
Indigo Airlines,Amritsar,2,1,3,0.28303333333333336
Indigo Airlines,No Inflight Entertainment,0,1,1,-0.9379
Indigo Airlines,indigo Airlines,1,0,1,0.0258
Indigo Airlines,Ground,2,0,2,0.6927
Indigo Airlines,Customer,1,0,1,0.8555
Indigo Airlines,Abu Dhabi,1,1,2,-0.0018500000000000183
Indigo Airlines,Jantanagri,1,0,1,0.9426
Indigo Airlines,food & lounge,1,0,1,0.9426
Indigo Airlines,Nagpur,1,4,5,-0.38644
Indigo Airlines,Indigo Airline,0,3,3,-0.7150333333333334
Indigo Airlines,Alcohol,0,1,1,-0.6249
Indigo Airlines,Authority,0,1,1,-0.7501
Indigo Airlines,SIN,2,2,4,-0.17455000000000004
Indigo Airlines,MAA-GOI,1,0,1,0.5023
Indigo Airlines,GOX-MAA,1,0,1,0.5023
Indigo Airlines,MAA-SIN,1,0,1,0.5023
Indigo Airlines,Soniya,0,1,1,-0.3252
Indigo Airlines,Airbus,2,0,2,0.7138
Indigo Airlines,IFE,1,0,1,0.5875
Indigo Airlines,Vistara/Air India,1,0,1,0.5875
Indigo Airlines,Frequent Fliers,1,0,1,0.5875
Indigo Airlines,Somiwon,1,0,1,0.9895
Indigo Airlines,GE5387,1,0,1,0.9754
Indigo Airlines,Airlines,0,2,2,-0.7931999999999999
Indigo Airlines,Cattle,0,1,1,-0.9267
Indigo Airlines,Bengaluru,0,2,2,-0.90895
Indigo Airlines,DFW,0,3,3,-0.9467
Indigo Airlines,DOH,8,1,9,0.5648555555555556
Indigo Airlines,The Qatar Airways,0,1,1,-0.9467
Indigo Airlines,4B,0,1,1,-0.2732
Indigo Airlines,Qatar Airways,1,1,2,0.002599999999999991
Indigo Airlines,Plane,1,0,1,0.9758
Indigo Airlines,Sugar &,1,0,1,0.9758
Indigo Airlines,Hide & Seek,1,0,1,0.9758
Indigo Airlines,my comfort &,1,0,1,0.9758
Indigo Airlines,Pune,3,0,3,0.9018333333333333
Indigo Airlines,Roshani & IndiGo Team,1,0,1,0.9758
Indigo Airlines,Dhaka,1,0,1,0.2263
Indigo Airlines,Malayalam,0,1,1,-0.4933
Indigo Airlines,Malayalee,0,1,1,-0.4933
Indigo Airlines,Abu Dhabi Terminal 1,0,1,1,-0.9041
Indigo Airlines,T3,2,1,3,0.3258
Indigo Airlines,PNR,1,5,6,-0.5497833333333334
Indigo Airlines,Chase,0,1,1,-0.9286
Indigo Airlines,Indigo Airlines Customer,1,0,1,0.6858
Indigo Airlines,BLR-Kannaur,1,0,1,0.9623
Indigo Airlines,ALWAYS,0,1,1,-0.7857
Indigo Airlines,Cathay Pacific,0,1,1,-0.7857
Indigo Airlines,Lufthansa,0,1,1,-0.7857
Indigo Airlines,Tata,1,0,1,0.8479
Indigo Airlines,Air,1,0,1,0.9625
Indigo Airlines,BLR,4,4,8,-0.07935000000000002
Indigo Airlines,BKK,1,3,4,-0.24192499999999997
Indigo Airlines,TRZ,1,0,1,0.9597
Indigo Airlines,Qatar & Indigo,1,0,1,0.7538
Indigo Airlines,IAD,2,0,2,0.7538
Indigo Airlines,Indigo & Qatar,1,0,1,0.7538
Indigo Airlines,International Airlines,1,0,1,0.7538
Indigo Airlines,Auto-Rickshaw,1,0,1,0.7538
Indigo Airlines,Boarding,1,0,1,0.7538
Indigo Airlines,Immigration and Security,1,0,1,0.7538
Indigo Airlines,Boarding Feedback,1,0,1,0.7538
Indigo Airlines,the Bangalore Indigo,0,1,1,-0.1292
Indigo Airlines,PIR,0,3,3,-0.9047666666666666
Indigo Airlines,ASAP,0,1,1,-0.7863
Indigo Airlines,Indian Civil,1,0,1,0.2716
Indigo Airlines,SG,1,0,1,0.5986
Indigo Airlines,LKO,2,0,2,0.5267
Indigo Airlines,BOM,5,1,6,0.5681333333333334
Indigo Airlines,Nada,0,1,1,-0.4624
Indigo Airlines,Property Irregularity Report,0,1,1,-0.964
Indigo Airlines,Captain &,1,0,1,0.2441
Indigo Airlines,CCU,6,2,8,0.207625
Indigo Airlines,IXR,2,0,2,0.2441
Indigo Airlines,Surat,1,0,1,0.9694
Indigo Airlines,Airhostess,1,0,1,0.9694
Indigo Airlines,RS,0,2,2,-0.5574
Indigo Airlines,Air Hostesses,1,0,1,0.9296
Indigo Airlines,Janett - Air,1,0,1,0.9296
Indigo Airlines,PCR,0,1,1,-0.6935
Indigo Airlines,SMS,2,3,5,-0.3045999999999999
Indigo Airlines,Indore,2,0,2,0.87585
Indigo Airlines,un,2,1,3,0.2001666666666667
Indigo Airlines,cashews & almonds,0,1,1,-0.1531
Indigo Airlines,The Air Hostess,0,1,1,-0.1531
Indigo Airlines,Indigo Airlines Ruksar,1,0,1,0.9684
Indigo Airlines,CPML,1,0,1,0.9732
Indigo Airlines,RT PCR,1,0,1,0.8401
Indigo Airlines,Lucknow,0,2,2,-0.62905
Indigo Airlines,RT-PCR,1,0,1,0.5719
Indigo Airlines,Sujata,2,0,2,0.9556
Indigo Airlines,Keertana,1,0,1,0.9556
Indigo Airlines,Coimbatore International,1,0,1,0.1779
Indigo Airlines,PPE,2,0,2,0.56535
Indigo Airlines,Sanitizers,1,0,1,0.997
Indigo Airlines,Great Safety and Great,1,0,1,0.997
Indigo Airlines,Tasty Inflight Food,1,0,1,0.997
Indigo Airlines,the Customer Service Relations,0,1,1,-0.6055
Indigo Airlines,Thiruvananthapuram,0,2,2,-0.96025
Indigo Airlines,Nihal,1,0,1,0.9673
Indigo Airlines,& Good,1,0,1,0.9673
Indigo Airlines,Coimbatore,5,1,6,0.6178166666666667
Indigo Airlines,Security,1,0,1,0.9558
Indigo Airlines,the Walking Stick,1,0,1,0.9558
Indigo Airlines,GOI,1,0,1,0.9696
Indigo Airlines,my ‘Nut Case,1,0,1,0.9696
Indigo Airlines,KTM,0,2,2,-0.3407
Indigo Airlines,punctuality & service,0,1,1,-0.3528
Indigo Airlines,TIR,1,0,1,0.9476
Indigo Airlines,Nazia & Rosey,1,0,1,0.7717
Indigo Airlines,CNN,2,0,2,0.9752
Indigo Airlines,Cochin to Chennai,1,0,1,0.936
Indigo Airlines,the USA to Hyderabad,1,0,1,0.9694
Indigo Airlines,Nayan & Somiya,1,0,1,0.9095
Indigo Airlines,Jetstar,0,1,1,-0.7964
Indigo Airlines,5.20pm,0,1,1,-0.7506
Indigo Airlines,Rajahmundry,2,0,2,0.9846
Indigo Airlines,Boeing,1,0,1,0.9753
Indigo Airlines,FF,1,0,1,0.9589
Indigo Airlines,Fly Air,1,0,1,0.9326
Indigo Airlines,Hubli,0,1,1,-0.1545
Indigo Airlines,Western Union,0,1,1,-0.1545
Indigo Airlines,MacBook,1,0,1,0.2869
Indigo Airlines,Customer Service,0,1,1,-0.9527
Indigo Airlines,Google Chrome,0,1,1,-0.9527
Indigo Airlines,CC,1,0,1,0.09
Indigo Airlines,Bangalore to Thiruvananthapuram,0,1,1,-0.7089
Indigo Airlines,KPI,1,0,1,0.4963
Indigo Airlines,Guwahati,1,0,1,0.9831
Indigo Airlines,Bangalore to Chennai,1,0,1,0.2831
Indigo Airlines,AED,1,0,1,0.8779
Indigo Airlines,the vomiting sensation &,1,0,1,0.9528
Indigo Airlines,the Toilet &,1,0,1,0.9528
Indigo Airlines,Toilet,1,0,1,0.9528
Indigo Airlines,Co,1,0,1,0.9528
Indigo Airlines,everything & made,1,0,1,0.9528
Indigo Airlines,Pune via Chennai,1,0,1,0.9645
Indigo Airlines,CJB,1,0,1,0.8655
Indigo Airlines,SFO,1,0,1,0.3697
Indigo Airlines,Terminal,1,0,1,0.3697
Indigo Airlines,Air Hostess,1,0,1,0.9168
Indigo Airlines,₹,1,0,1,0.9211
Indigo Airlines,Cochin to Hyderabad,0,1,1,-0.8914
Indigo Airlines,Singapore Airlines,0,1,1,-0.8591
Indigo Airlines,US & other visas,0,1,1,-0.8591
Indigo Airlines,Girl Power,1,0,1,0.9336
Indigo Airlines,PowerPac,0,1,1,-0.4561
Indigo Airlines,Madurai,1,0,1,0.9865
Indigo Airlines,Rs.50/-,1,0,1,0.8481
Indigo Airlines,Kolkata immigration,1,0,1,0.1226
Indigo Airlines,IXB,1,0,1,0.4398
Indigo Airlines,Jet Airways,3,0,3,0.7361
Indigo Airlines,Verified Review|,1,0,1,0.9674
Indigo Airlines,Food,0,1,1,-0.9455
Indigo Airlines,Calcutta the immigration,1,0,1,0.128
Indigo Airlines,Kolkata to Hyderabad,1,0,1,0.9068
Indigo Airlines,Flew IndiGo,0,1,1,-0.6908
Indigo Airlines,AC,0,1,1,-0.6908
Indigo Airlines,Indigo Airbus,1,0,1,0.9565
Indigo Airlines,Hello 6E,1,0,1,0.9565
Indigo Airlines,IndiGo Airlines,1,0,1,0.968
Indigo Airlines,Verified Review| Hyderabad,0,1,1,-0.8591
Indigo Airlines,Suvarnbhumi,1,0,1,0.8777
Indigo Airlines,Takeoff,1,0,1,0.9595
Indigo Airlines,Cappuccino,0,1,1,-0.3601
Indigo Airlines,P.S Food,1,0,1,0.8402
Indigo Airlines,PNQ,2,0,2,0.87355
Indigo Airlines,SpiceJet,1,0,1,0.8964
Indigo Airlines,DXB-BOM,1,0,1,0.9721
Indigo Airlines,Clicked N/A on food and bev,1,0,1,0.7743
Indigo Airlines,Patna,1,0,1,0.9892
Indigo Airlines,BDQ,2,0,2,0.9563
Indigo Airlines,DEL-CCU,1,0,1,0.9473
Indigo Airlines,Bkk-Kol-Pune-Kol-Bkk,1,0,1,0.908
Indigo Airlines,Kiosk,0,1,1,-0.6891
Indigo Airlines,the Boarding Pass I,0,1,1,-0.6891
Indigo Airlines,DEL-PNQ(Pune)-DEL,1,0,1,0.3048
Indigo Airlines,AED / Kg,1,0,1,0.1816
Indigo Airlines,Mumbai - Thiruvananthapuram,1,0,1,0.5873
Indigo Airlines,MAA-BLR,1,0,1,0.8832
Indigo Airlines,BLR-BOM,3,0,3,0.743
Indigo Airlines,Easyjet and Ryanair,1,0,1,0.8832
Indigo Airlines,BBI - Clean,1,0,1,0.8622
Indigo Airlines,BBI,1,0,1,0.8622
Indigo Airlines,DEL-COK-DEL,3,0,3,0.6712666666666666
Indigo Airlines,Calcutta,1,0,1,0.8934
Indigo Airlines,Non Veg,2,0,2,0.875
Indigo Airlines,Goa - Ahmedabad,0,1,1,-0.7275
Indigo Airlines,Chennai - Mumbai,1,0,1,0.5106
Indigo Airlines,MAA-DEL,1,0,1,0.9728
Indigo Airlines,Pune to Bangalore,0,1,1,-0.7345
Indigo Airlines,BOM-MAA,2,0,2,0.46725
Indigo Airlines,MAA-BOM,1,0,1,0.4215
Indigo Airlines,Corporate Plan,0,0,1,0.0
Indigo Airlines,DEL-TRV Nov 11,1,0,1,0.902
Indigo Airlines,MAA,1,1,2,-0.018299999999999983
Indigo Airlines,DXB-DEL-DXB,1,0,1,0.9729
Indigo Airlines,IGI,1,0,1,0.9729
Indigo Airlines,BKK-DEL,1,0,1,0.9333
Indigo Airlines,Jaipur to Chennai,0,1,1,-0.6486
Indigo Airlines,DEL-BLR-DEL,1,0,1,0.624
Indigo Airlines,MAA-TRV,1,0,1,0.9883
Indigo Airlines,TRV,1,0,1,0.9883
Indigo Airlines,Flew MAA-PNQ,1,0,1,0.7351
Indigo Airlines,Chennai-Pune,1,0,1,0.7351
Indigo Airlines,iPad,1,0,1,0.0534
Indigo Airlines,BOM-DEL-BOM,2,0,2,0.9107000000000001
Indigo Airlines,HYD-BLR-HYD,1,0,1,0.8297
Indigo Airlines,BKK-BOM-BKK,1,0,1,0.8555
Indigo Airlines,Kolkata-Chennai-Pune,1,0,1,0.8781
Indigo Airlines,BBI-DEL,1,0,1,0.7339
Indigo Airlines,FA's,1,0,1,0.9153
Indigo Airlines,DEL-BKK,1,0,1,0.9136
Indigo Airlines,AI,1,0,1,0.513
Indigo Airlines,BLR-DEL,1,0,1,0.7003
Indigo Airlines,Bombay-Jaipur,1,0,1,0.9485
Indigo Airlines,Ground Staff,1,0,1,0.9595
Indigo Airlines,Indian Airlines,1,0,1,0.9595
Indigo Airlines,DEL-CCU-DEL NAG-DEL,1,0,1,0.962
Indigo Airlines,DEL-CCU-DEL,1,0,1,0.983
Indigo Airlines,DEL-PNQ,1,0,1,0.2023
Qatar Airways,Qatar Airways,1045,215,1262,0.6200506339144222
Qatar Airways,Qatar Airways',7,3,10,0.43802
Qatar Airways,Qatar Airways’ Business Class,1,0,1,0.9042
Qatar Airways,Copenhagen,32,14,46,0.4665652173913045
Qatar Airways,Paris CDG,7,2,9,0.5404666666666667
Qatar Airways,B777,2,0,2,0.92815
Qatar Airways,the Silver Lounge,1,0,1,0.8872
Qatar Airways,Frequent,1,0,1,0.8872
Qatar Airways,One World Alliance,2,0,2,0.8872
Qatar Airways,Airbus,21,2,23,0.7207434782608695
Qatar Airways,Malaysia Airlines,5,1,6,0.6495833333333333
Qatar Airways,KUL,9,4,13,0.4723
Qatar Airways,Boeing,229,41,270,0.6644166666666667
Qatar Airways,WIFI,14,1,15,0.8435666666666667
Qatar Airways,Privilege Club,8,2,10,0.60983
Qatar Airways,Al Mourjan Business Lounge,1,0,1,0.9899
Qatar Airways,MH,2,0,2,0.9915499999999999
Qatar Airways,Finnair Oneworld,0,1,1,-0.8225
Qatar Airways,Ath~Doh,0,2,2,-0.5423
Qatar Airways,Doha Tokyo,0,1,1,-0.5423
Qatar Airways,Air France,2,0,2,0.8468
Qatar Airways,Bos-Doh,1,0,1,0.9309
Qatar Airways,MAA,1,0,1,0.9309
Qatar Airways,Oman Air,3,0,3,0.9816666666666666
Qatar Airways,IFE,34,7,41,0.6154170731707316
Qatar Airways,food & beverage,0,1,1,-0.1769
Qatar Airways,BC,5,0,5,0.9517800000000001
Qatar Airways,KTM-DOH-LHR,0,1,1,-0.4114
Qatar Airways,British Airways,9,5,14,0.3170214285714286
Qatar Airways,KTM,6,2,8,0.30785
Qatar Airways,Durban,7,4,11,0.35561818181818183
Qatar Airways,IPad,2,1,3,0.3597333333333334
Qatar Airways,QA,15,2,17,0.7555235294117646
Qatar Airways,Netflix,1,0,1,0.7528
Qatar Airways,BKK,44,9,53,0.5781358490566038
Qatar Airways,ACDFGJ,1,0,1,0.9884
Qatar Airways,Qatar Airways Media/Customer Service,0,1,1,-0.8959
Qatar Airways,Privilege,2,0,2,0.97845
Qatar Airways,Silver & Gold,1,0,1,0.9932
Qatar Airways,DOH,133,38,174,0.5141028735632187
Qatar Airways,LHR,33,5,38,0.6278368421052632
Qatar Airways,No Entertainment,0,1,1,-0.5293
Qatar Airways,Salalah,1,2,3,-0.11766666666666666
Qatar Airways,Helsinki-Doha,1,0,1,0.2434
Qatar Airways,Finnair,1,1,2,-0.29795000000000005
Qatar Airways,Business Class Lounge,0,1,1,-0.9471
Qatar Airways,Jetstar,0,2,2,-0.4521
Qatar Airways,ATC,1,0,1,0.9103
Qatar Airways,Silver/Platinum/Gold,1,0,1,0.9103
Qatar Airways,the discussions &,1,0,1,0.5568
Qatar Airways,The Qatar Airways,4,3,7,0.2313285714285714
Qatar Airways,the kindest &,1,0,1,0.9761
Qatar Airways,GLA,0,1,1,-0.2377
Qatar Airways,Perth/Doha/Dubai,1,0,1,0.2347
Qatar Airways,KUL-DOH,0,1,1,-0.6181
Qatar Airways,la carte,2,0,2,0.9913000000000001
Qatar Airways,A350,25,3,28,0.7709035714285717
Qatar Airways,CX,4,0,4,0.807925
Qatar Airways,New Miracle,1,0,1,0.8875
Qatar Airways,the Platinum South,1,0,1,0.8875
Qatar Airways,WI-FI,4,0,4,0.778775
Qatar Airways,the Qatar Airways,21,10,31,0.3848193548387096
Qatar Airways,Washington DC Dulles International Airport,0,1,1,-0.9864
Qatar Airways,Ethiopian Airline,0,1,1,-0.9864
Qatar Airways,Kenya Airways,1,1,2,-0.008600000000000052
Qatar Airways,NBO,0,1,1,-0.9864
Qatar Airways,BA,28,11,39,0.3657769230769231
Qatar Airways,WHY,0,1,1,-0.9876
Qatar Airways,del equipaje de cabina,0,1,1,-0.9523
Qatar Airways,del bolso de mano,0,1,1,-0.9523
Qatar Airways,el peso,0,1,1,-0.9523
Qatar Airways,nos,0,2,2,-0.9523
Qatar Airways,el equipaje de cabina,0,1,1,-0.9523
Qatar Airways,un,2,3,5,-0.26393999999999995
Qatar Airways,África de 45,0,1,1,-0.9523
Qatar Airways,maletas de cabina,0,1,1,-0.9523
Qatar Airways,fue,0,1,1,-0.9523
Qatar Airways,el checkin,0,1,1,-0.9523
Qatar Airways,Raleigh,0,1,1,-0.5936
Qatar Airways,CPH,25,1,26,0.908242307692308
Qatar Airways,Gold Privilege,0,1,1,-0.3182
Qatar Airways,Lufthansa,6,0,6,0.8243
Qatar Airways,KLM,2,1,3,0.20110000000000006
Qatar Airways,A380s of Qatar Airways,1,0,1,0.7964
Qatar Airways,Munich World,1,0,1,0.7845
Qatar Airways,Platinum,9,1,10,0.6387999999999999
Qatar Airways,Miracle lounge,1,0,1,0.8671
Qatar Airways,Erbil,0,1,1,-0.431
Qatar Airways,Noticed 47C,0,0,1,0.0
Qatar Airways,AMS-DOH,0,0,1,0.0
Qatar Airways,the European Golf Championship,0,2,2,-0.7208
Qatar Airways,Air NZ,1,1,2,0.41175
Qatar Airways,AKL,3,0,3,0.7171333333333334
Qatar Airways,EK,1,0,1,0.8698
Qatar Airways,Turkish Airlines,2,1,3,0.6188333333333333
Qatar Airways,Ground Attendants,1,0,1,0.921
Qatar Airways,Totally Professional,1,0,1,0.921
Qatar Airways,Alaska Airlines,1,0,1,0.0772
Qatar Airways,the Business Lounge,0,2,2,-0.4841
Qatar Airways,MEL-DOH,1,0,1,0.455
Qatar Airways,Virgin Australia,0,1,1,-0.5402
Qatar Airways,JNB,3,3,6,0.08896666666666662
Qatar Airways,Qatar Airlines,4,0,4,0.8874249999999999
Qatar Airways,IndiGo & Qatar Airways,0,1,1,-0.7533
Qatar Airways,haqiba qatarairways report,1,0,1,0.9178
Qatar Airways,American Airlines,3,8,11,-0.11959999999999998
Qatar Airways,The food & beverage,1,0,1,0.9936
Qatar Airways,Air Traffic Issue,0,1,1,-0.8741
Qatar Airways,Cathay Pacific,5,2,7,0.5421857142857143
Qatar Airways,the Qsuite.,1,0,1,0.9298
Qatar Airways,Oryx Entertainment,1,0,1,0.9298
Qatar Airways,Movies and Music,1,0,1,0.9298
Qatar Airways,Haneda,1,0,1,0.6632
Qatar Airways,the Upper Deck,0,3,3,-0.9952
Qatar Airways,Qatar Ground,0,1,1,-0.9952
Qatar Airways,Exit Row,0,1,1,-0.9952
Qatar Airways,Verified|  Service,1,0,1,0.6808
Qatar Airways,JRO,1,0,1,0.9694
Qatar Airways,Flying Qatar Airways,3,0,3,0.9499333333333334
Qatar Airways,American,0,1,1,-0.8534
